time,loadkW,windkW,photokW,sell_price,buy_price,current_situation
1,64.3,163.1,0,0.22,0.25,60
2,65.5,201.47,0,0.22,0.25,60
3,66.7,154.26,0,0.22,0.25,60
4,66.9,140.29,0,0.22,0.25,60
5,67.5,200.29,0,0.22,0.25,60
6,67.7,250,0,0.22,0.25,60
7,68,154.26,0,0.22,0.25,60
8,68.2,125.64,0,0.22,0.25,60
9,70.2,182.87,0,0.22,0.25,60
10,71.9,211.67,0,0.22,0.25,60
11,71.9,214.11,0,0.22,0.25,60
12,71.9,224.41,0,0.22,0.25,0
13,70.7,158.26,0,0.22,0.25,0
14,70.7,135.45,0,0.22,0.25,0
15,71.3,163.1,0,0.22,0.25,0
16,72,175.49,0,0.22,0.25,0
17,76.5,219.38,0,0.22,0.25,0
18,77.6,250,0,0.22,0.25,0
19,78.7,168.04,0,0.22,0.25,0
20,78.8,124.56,0.06,0.22,0.25,0
21,90.6,170.15,0.96,0.22,0.25,0
22,93.8,201.47,2.11,0.22,0.25,0
23,94.7,231.44,4.04,0.22,0.25,0
24,94.8,250,6.54,0.22,0.25,0
25,110.5,235.01,9.18,0.22,0.25,0
26,113.1,227.59,13.4,0.22,0.25,0
27,113.9,135.9,16.29,0.22,0.25,0
28,114.3,106.25,20.19,0.22,0.25,0
29,132.2,213.81,28.8,0.42,0.53,0
30,145.4,250,34.78,0.42,0.53,0
31,145.2,221.25,31.62,0.42,0.53,0
32,145.1,204.14,39.61,0.42,0.53,0
33,154.1,246.62,46.08,0.42,0.53,0
34,157.4,250,53.66,0.42,0.53,0
35,156.5,179.02,36.29,0.42,0.53,0
36,155.5,144.06,49.64,0.42,0.53,0
37,144,197.36,76.96,0.42,0.53,0
38,142.2,227.91,66.81,0.42,0.53,0
39,142.1,215.96,55.57,0.42,0.53,0
40,142.1,218.44,88.62,0.42,0.53,0
41,125.3,212.28,87.02,0.65,0.82,0
42,118.9,210.15,54.04,0.65,0.82,0
43,116.9,153.76,63.44,0.65,0.82,0
44,115.9,124.77,101.59,0.65,0.82,0
45,115.4,90.46,104.11,0.65,0.82,0
46,115,57.35,90.68,0.65,0.82,0
47,124.1,96.22,91.85,0.65,0.82,0
48,127.1,114.66,66.78,0.65,0.82,0
49,130.2,94.39,77.14,0.65,0.82,0
50,131.6,86.98,63.76,0.65,0.82,0
51,140.7,69.47,75.46,0.65,0.82,0
52,141.8,55.77,110.46,0.65,0.82,0
53,143.9,74.36,70.57,0.65,0.82,0
54,145.5,83.41,103.15,0.65,0.82,0
55,145.5,50.33,72.79,0.65,0.82,-22.38
56,145.6,37.21,67.41,0.65,0.82,-40.98
57,144.7,9.1,28.94,0.65,0.82,-60
58,144.4,1.34,23.89,0.65,0.82,-60
59,145.2,19.54,19.75,0.65,0.82,-60
60,145.3,33.06,31.53,0.65,0.82,-60
61,149.6,2.02,40.48,0.42,0.53,0
62,150.3,0,63.95,0.42,0.53,0
63,150.1,10.47,59.41,0.42,0.53,0
64,150,16.35,50.76,0.42,0.53,0
65,203.5,21.07,41.64,0.42,0.53,0
66,207.2,27.11,23.39,0.42,0.53,0
67,207,43.75,24.86,0.42,0.53,0
68,206.9,53.45,20.6,0.42,0.53,0
69,215.5,19.61,17.4,0.42,0.53,0
70,223.9,9.95,15.06,0.42,0.53,0
71,225,72.19,13.59,0.42,0.53,0
72,225.5,120.28,22.08,0.42,0.53,0
73,233.9,81.91,18.2,0.65,0.82,-60
74,237.5,76.88,12.15,0.65,0.82,-60
75,236.6,62.81,5.37,0.65,0.82,-60
76,236.1,56.82,2.07,0.65,0.82,-60
77,215.4,34.9,0,0.65,0.82,-60
78,211,23.98,0,0.65,0.82,-60
79,210.9,25.11,0,0.65,0.82,-60
80,210.8,23.43,0,0.65,0.82,-56.64
81,198,58.69,0,0.65,0.82,0
82,197.9,93.67,0,0.65,0.82,0
83,198.5,93.49,0,0.65,0.82,0
84,198.6,99.55,0,0.65,0.82,0
85,180.8,56.82,0,0.42,0.53,60
86,177.2,26.01,0,0.42,0.53,60
87,177.8,16.74,0,0.42,0.53,0
88,177.9,6.97,0,0.42,0.53,0
89,161.5,18.98,0,0.42,0.53,0
90,147.3,23.12,0,0.42,0.53,0
91,147.2,44.43,0,0.42,0.53,0
92,147.2,55.64,0,0.42,0.53,0
93,117.2,92.41,0,0.42,0.53,0
94,107.5,109.01,0,0.42,0.53,0
95,62,62,0,0.42,0.53,0
96,58.7,63.8,0,0.42,0.53,0
